"","df9f127f34e52758c22bb8768ea9dd1d","X726f137d48a9a16971165106f5accbc3","X192b9d0e30798cb5d4a686f2b25b046b","X8bb6ba264b60216d22b221d5c6c0992e","X4603641854a42087dd05682bc365b2b2","X31e4d9092a2fe5d08a565a11d5c0a510","X065259ec202538d9a00670abd44fc85d","d2db2c90c9f6401ed400e43cd16e7846","X71c8a0b854b50dd6b2845d87007e5ad4","X90c8784ec39588e5031c9e4950c88efa","X519335ba0a9cc277b802a53b482bce49","f3eefe548d5b25a70eff6ded2ac754cb","f99a6053aeb89ad886d5acae4e1e77b5","c50df3a28f2c5b2ed3fcec3c8c0dbce3","fbdfdbc22fcb0362b5fe57dcee55fed6","X23769d724c8f54a20fc5503775e0d215","X43c74972f95d6719e0a57265faf133ff","X27411089f2f049c2a454db6aac7c5d0b","a4d62e1254481f8aa0a1fd7b2f28dddf","fcca31a8dba0488eb8879120277f149b","X6621ec621365d2e452925f53b69d7fa8","ad568b74428dbece1b14338b18a261b9","X733666313c4bfa4aee6abca3478eed6e","X72c7f54f73e0c27bef2f8ea144f989eb","X0b85d04d31bae6800df285cbbea2976c","X98cedaeb6530038a7c03909a8fffac4d","X5dbb8b0090393f98803bec4188360a21","X83b3780d81b53c75005807be459eb58c","X3a2c7d75cfe5ecf2bb7365399890fdb4","f7e4d6e9e0a0370a86c8c5fd06c3abbb","X3e5948251286e38076a2b64de3ce2c04","X0c897461dd87a51b819cb5cd2673b1cc","X53976109a60d93a15b345e47740ea7bd","e6463a720ccb096471a4b7b4ca2757b0","X66dab50962e1791cd3e6ab748e873c55","ed9923136d584bc3ff8524cd9eebdc93","c752f8a0b6dc047724cdb7f5f861aa35","ed33772a1caee90939081a3385e863b9","X74102cb314b4c3ba9f7dc88e4be09649","X2988a53743a50b6579198acf6a5cb70e","c3492868939e3115d88cd6bcd520726d","X264b149f3c269c37a1309792a8ca5ecc","X3c0f10bb5340d817636f203a0e132fdd","e9b701f61b7096cb0d7bb24cb2ba68e2","e7d24fb78850aa4194897270760d7f9f","c281b48a9ac15ab8db31d16fd7f6061a","ac497e41b16230691a63a326f1520573","X67b1a0b8a0351166d4e8978b1640913a","X861046dc390acf5d219614c8471a9a35","fc09aae0332019d4c733aeeaffb3ab07","X54a82865c7fb0a242e0e52c1629dcfa1","X0ab462899af75a39915e9dc4a0b872c2","fa479e1e8d76ccfafce1e9c8b17399a1","eaf307555b1ef040e7155ad169ba3637","b726c83a8023ca819ac68b75921d588e","ba63b0f31c182217ace0bd6fc39b027b","X931bb825089e4e983501f63d6b0ab6e2","X663353c380a5a14d9f0b5afdb3afbe08","X020dfe956e6e2e235703c7a5d833ec20","X20ff23552df9cf3f03ec93dfd095b42c","X10819d4184b7fe808f57b65a0e9174d1","e6bb66b5a45fe0fda71582bc237bd3df","X99a30d2e520c0bb462c9d36594b679ef"
"L.2016.NAM-13.05.R",0,0,0,0,0,0,136.27053107181,0,0,1196.8762088591,0,0,0,0,0,108.775164454452,1704.1073848398,0,0,0,0,0,68.2135219664594,0,0,0,0,136.427043932919,0,0,0,700.84251528248,0,0,479.989761907031,0,153.664268543676,648.161377627986,0,183.621146729363,0,0,0,0,0,0,0,0,0,1640.64198320803,648.004864766877,0,0,1444.80603687075,0,0,430.96995537017,0,0,0,697.540090815934,0,1246.08115243083
"L.2016.NAM-13.06.R",51.7420413464185,0,0,236.870140090923,0,0,0,0,0,94.7480560363691,0,0,0,0,0,0,288.612181437341,0,0,0,0,0,0,0,0,0,0,426.366252163661,0,0,0,0,0,0,142.122084054554,94.7480560363691,0,301.716221422043,0,0,0,0,0,0,0,129.355103366046,0,0,0,0,508.347327511522,0,0,181.097144712465,0,0,0,0,0,0,995.900742884068,142.122084054554,773.236029155813
"L.2016.NAM-13.07.R",0,0,0,0,0,0,120.387648227292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.292684559393,0,0,0,0,0,0,0,0,50.5170738237573,145.388591902401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481.550592909168,0,0,0,0,0,0,1728.90610350701,50.5170738237573,0
"L.2016.NAM-13.08.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.361532558774,0,0,209.04229883816,0,0,322.000697668178,0,0,0,0,0,0,0,0,0,0,0,0,8508.77360918777,0,0,0,0,0,0,0,0,0,7921.64942698735,429.334263557571,1021.05283310253
"L.2016.NAM-13.09.R",0,0,0,96.9652894565399,0,0,271.813454426227,0,0,0,0,0,0,0,0,0,762.529179956996,0,0,0,0,0,0,0,170.419626376272,0,0,0,0,0,0,1068.07892367659,193.93057891308,0,315.867560561081,0,0,1630.74192684298,0,0,0,0,0,0,0,271.813454426227,0,0,0,0,96.9652894565399,0,533.309092010969,271.813454426227,0,0,0,96.9652894565399,0,0,2677.29806006483,135.906727213114,0
"L.2016.NAM-13.10.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448.23577201608,0,0,0,0,0,0,0,0,0,0,0,0,0,448.23577201608,0,0,0,0,0,0,2241.1788600804,0,672.353658024121
"L.2016.NAM-14.01.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.856434492048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557.141086230119,0,0,123.431741861027,0,0,0,0,0,0,0,246.863483722053,0,0,0,0,0,0,0,1818.09917731012,0,0,334.284651738071,0,0,0,2064.96266103218,123.431741861027,0
"L.2016.NAM-14.02.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.624604011993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-14.03.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085.10182324234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.057677277562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2623.70938840738,0,0,0,0,0,0,651.061093945403,0,0
"L.2016.NAM-14.04.R",0,0,0,375.893922735004,0,0,0,0,0,733.225182618897,0,0,0,0,0,911.029393569925,587.000225313668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488.816788412598,0,488.816788412598,2977.49657491607,0,0,2322.1693283653,0,0,0,12570.7041877423,1540.10571258579,44971.144533959
"L.2016.NAM-14.05.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261.443462034324,89.8053021050363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3106.16404641572,0,0,763.345067892809,0,0,0,751.386401471632,89.8053021050363,0
"L.2016.NAM-14.06.R",0,0,0,0,0,0,319.498600196758,0,0,0,0,0,0,0,0,260.297617788739,532.497666994596,0,0,0,0,0,0,0,319.498600196758,0,0,106.499533398919,0,0,0,0,0,0,0,106.499533398919,319.498600196758,1360.68907135171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2682.54817859264,0,0,319.498600196758,0,0,0,1384.49393418595,1239.33361126551,1160.80223409672
"L.2016.NAM-14.07.R",0,0,0,0,0,0,0,0,0,262.406066828265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262.406066828265,0,0,0,0,0,0,0,0,0,393.609100242398,0,0,0,0,524.81213365653,0,0,0,0,0,0,0,0,0,0,0,262.406066828265,1312.03033414133,918.421233898928,0,0,0,0,0,0,0,183.21205077264,1440.87238751973
"L.2016.NAM-14.08.R",0,0,0,0,0,0,0,0,0,0,0,0,0,2336.7045164117,0,0,798.269352044767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638.615481635814,0,0,638.615481635814,0,389.450752735283,1923.28265206309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1063.13774032978,0,0,478.96161122686,0,0,919.729679450735,10738.4427096014,957.92322245372,3559.49612715044
"L.2016.NAM-14.09.R",0,0,0,0,0,0,284.395402037338,0,0,0,0,0,0,0,0,0,514.176448644926,0,0,0,0,0,0,0,1713.20884015762,0,0,0,0,0,0,0,0,0,1142.13922677174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284.395402037338,0,0,2421.91853593976,0,0
"L.2016.NAM-14.10.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1066.90849925983,1063.7236977695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,886.43641480792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415738.678544915,0,0,0,0,0,0,2080113.81418926,0,654014.910046277
"L.2016.NAM-17.01.R",31442.4210664221,0,0,0,0,0,0,0,0,0,147.251007749084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31442.4210664221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52404.0351107035,0,0,0,0,0,0,0,147.251007749084,0
"L.2016.NAM-17.02.R",0,0,203.27863020695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,813.114520827801,0,0,0,0,0,0,0,0,0,0,1319.80532871401,1977.80969390005,0,0,0,0,0,304.917945310426,2386.26525348492,0,0
"L.2016.NAM-17.03.R",0,0,0,0,0,0,0,0,0,0,896.847580753651,0,0,0,0,597.898387169101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1494.74596792275,0,4354.09374985816,597.898387169101,0,0,0,0,0,0,0,0,597.898387169101,0,0,0,6576.88225886011,0,0,2391.5935486764,0,0,0,0,0,0,14986.1205649919,104.012679145588,1793.6951615073
"L.2016.NAM-17.04.R",134.724929585174,0,0,0,0,0,480.266503474391,0,0,134.724929585174,134.724929585174,0,0,0,0,202.08739437776,556.358218193261,0,0,0,0,0,0,0,0,0,0,202.08739437776,0,0,0,0,0,0,686.718522815293,134.724929585174,0,134.724929585174,0,0,0,0,0,0,0,0,0,0,0,0,538.899718340694,0,0,884.441292229912,0,0,0,0,0,0,2073.2494433353,404.174788755521,830.17270232675
"L.2016.NAM-17.05.R",836.757011340663,0,1805.62714219597,151.960528252786,0,0,0,0,0,145.181274700666,416.196639307132,0,303.921056505573,0,0,380.388373607135,452.265091538338,0,0,0,0,0,0,0,0,336.826748404679,0,277.313181908781,0,0,0,0,0,0,342.154715056354,16742.228345782,950.483881042668,640.66886502423,0,0,0,0,0,285.047753717767,0,0,0,0,0,0,285.534806692936,0,36.2953186751664,77.6356075714126,57.1069613385872,0,0,0,0,0,3038.16185324809,72.5906373503329,2011.71049300721
"L.2016.NAM-17.06.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.428217246024,0,0,0,0,0,0,0,0,0,111.428217246024,0,0,180.997276895969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4692.52413361607,0,0,0,0,0,55.7141086230119,3392.52500821063,0,1871.92354146567
"L.2016.NAM-17.07.R",0,0,0,0,0,119.941918126147,0,0,0,0,0,0,0,0,0,179.912877189221,179.912877189221,0,0,0,0,0,0,0,0,0,0,0,0,119.941918126147,0,0,171.320884015762,0,1336.3720925834,0,599.709590630737,0,0,0,0,0,0,0,0,0,0,0,0,0,916.661875717453,0,0,0,0,0,0,0,0,0,1662.19652328437,0,599.623094055165
"L.2016.NAM-17.08.R",0,70.9572757373126,0,4044.56471702682,0,0,0,0,0,0,0,0,0,0,0,0,191.361423318263,0,0,0,0,0,0,0,0,0,0,0,0,1020.22222240993,0,0,254.776529136881,0,524.63739811115,0,0,0,0,2175.9329322382,0,0,0,0,0,0,254.776529136881,0,0,0,6191.03422706427,0,0,1000.2079056553,0,0,0,0,0,178.889276482321,5187.00101607545,0,3128.54619649804
"L.2016.NAM-17.09.R",0,0,559.415131480038,1895.46509974885,0,0,0,0,0,0,0,0,0,0,0,0,363.619835462024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1493.16230306746,0,0,0,0,545.429753193037,0,0,0,0,0,0,0,0,0,0,1773.46499128778,0,0,862.630035191824,0,0,0,0,0,0,12740.0844969776,0,270.78072853555
"L.2016.NAM-17.10.R",69.0595811536403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0595811536403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270.164851215151,0,0,0,0,0,0,0,0,0,643.919074160762,0,405.247276822726
"L.2016.NAM-23.01.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.802978735837,0,0,0,0,226.204468103756,0,0,323.071114009777,0,0,0,0,0,0,0,0,0,0,0,0,150.802978735837,0,0,1938.42668405866,0,0,150.802978735837,0,0,0,527.810425575431,0,377.007446839594
"L.2016.NAM-23.02.R",0,0,0,0,0,0,0,0,0,0,0,0,0,922.2242203747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368.88968814988,0,0,0,0,0,0,0,0,0,0,667.317301035176,0,0,2102.67122245432,0,0,0,0,0,0,2037.18294073782,0,922.2242203747
"L.2016.NAM-23.03.R",421.712945269567,0,632.56941790435,0,0,0,0,0,0,0,0,0,0,0,0,0,1535.98033945166,0,0,0,0,0,0,0,0,0,0,1054.28236317392,0,0,0,0,0,0,632.56941790435,0,0,959.643012799239,0,0,0,0,0,0,0,0,0,0,0,0,9066.82832329569,0,632.56941790435,1904.90084434153,0,0,0,0,0,0,23194.2119898262,0,0
"L.2016.NAM-23.04.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541.973290878759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270.986645439379,0,0,0,0,1219.43990447721,0,0,0,0,0,0,0,0,0,0,0,0,3112.50653081587,0,270.986645439379,5961.70619966635,0,0,0,0,0,0,5013.25294062852,0,0
"L.2016.NAM-23.05.R",130.67379492218,0,0,1577.60195588622,0,0,0,0,0,0,0,0,0,0,0,3625.62801056612,1553.84057595691,0,0,0,0,0,0,0,0,0,0,101.007311750658,71.3408285791359,0,0,0,0,0,71.3408285791359,2071.78743460921,0,214.022485737408,0,0,0,0,0,0,0,0,0,0,0,1553.84057595691,1149.50786694446,0,7251.25602113223,71.3408285791359,0,0,178.35207144784,1035.8937173046,0,0,10935.3140390072,0,8027.31742301404
"L.2016.NAM-23.06.R",0,0,181.485835881224,0,0,0,0,0,0,0,0,0,0,0,0,2713.30537121409,4612.91853663076,0,0,0,0,0,0,0,0,0,0,1808.87024747606,0,3041.37216574211,0,0,0,0,3708.48341289273,136.114376910918,0,90.7429179406122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013.79072191404,0,0,0,0,0,0,0,2163.69582073899,1808.87024747606,3220.20073217111
"L.2016.NAM-23.07.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482.855608066103,0,0,0,0,0,0,0,0,0,0,1207.13902016526,0,241.427804033051,0,0,1086.42511814873,0,0,0,102.516524382274,0,0,0,0,0,0,0,0,0,0,0,0,0,2809.48063093698,0,0,0,0,0,1086.42511814873,0,0,0,102.516524382274,0,102.516524382274
"L.2016.NAM-23.08.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.854395980581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.854395980581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238.838765920097,0,0,0,0,0,0,696.479830999581,0,102.359471108613
"L.2016.NAM-23.09.R",0,0,0,0,0,0,312.402780905421,0,0,0,0,0,0,0,0,155.406645770948,1145.98188547008,0,0,0,0,0,0,0,0,0,0,208.268520603614,520.671301509036,0,0,0,0,0,746.872320852694,0,746.872320852694,0,0,0,0,0,0,0,0,0,0,0,0,0,621.626583083792,0,0,312.402780905421,0,0,0,0,0,0,494.745386242901,0,388.51661442737
"L.2016.NAM-23.10.R",0,0,55.748973522025,0,0,0,0,0,0,0,0,0,0,0,0,0,167.246920566075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1478.2936392018,0,0,111.49794704405,0,0,0,237.090777613296,0,0,668.9876822643,0,111.49794704405
"L.2016.NAM-30.01.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264.942333645193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340.026182016015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377.258328988126,0,0
"L.2016.NAM-30.02.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6972.01510603273,0,0,1549.3366902295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-30.03.R",0,0,456.855690708697,2873.76966736116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,913.711381417395,0,0,0,0,0,0,16446.8048655131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.855690708697,0,0,4568.55690708697,0,0,0,0,0,0,5482.26828850437,0,0
"L.2016.NAM-30.04.R",0,0,0,1004.7390190398,0,0,0,0,0,669.826012693203,0,0,0,0,0,0,1339.65202538641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378.288151542234,0,0,669.826012693203,0,0,0,0,0,427.275106418206,0,0,4353.86908250582
"L.2016.NAM-30.05.R",0,0,386.075231584815,0,0,0,0,0,0,1380.68500202284,0,0,0,0,0,0,3336.9459461548,0,0,0,0,0,0,0,0,0,0,436.505898663989,0,0,0,0,0,0,1703.34657278777,0,193.596942458955,1045.97789594182,0,0,0,0,0,0,0,0,0,0,0,0,12497.919045996,0,0,667.317301035176,0,0,0,0,0,0,7452.16533510227,0,423.215485454613
"L.2016.NAM-30.06.R",222.439100345059,0,109.083566072177,0,0,55.6097750862647,0,0,0,0,0,0,0,367.065758913045,0,369.265403910277,1183.63321787804,146.826303565218,0,0,0,0,0,0,0,0,0,472.68308823325,111.219550172529,0,0,452.79217122336,111.219550172529,0,2228.24199804042,0,673.031626571187,398.591526795667,0,0,0,0,0,0,0,0,0,0,0,0,986.638811608392,0,0,3683.88086872414,0,0,905.584342446719,0,0,55.6097750862647,2555.20673062667,111.219550172529,581.702993408547
"L.2016.NAM-30.07.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.849087375386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498.155785768104,0,0,664.207714357472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664.207714357472,0,0,0,0,0,0,1437.75497648363,0,498.155785768104
"L.2016.NAM-30.08.R",0,0,0,0,0,0,0,0,0,0,2333.88251565394,0,0,0,0,0,2112.73185031295,0,0,0,0,0,0,0,0,0,0,1629.63856554962,0,0,0,0,2816.97580041726,0,2816.97580041726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3521.21975052158,0,0,0,0,0,704.243950104316,15493.366902295,0,5633.95160083453
