"","kingdom","phylum","class","order","family","genus","species"
"bb635deac11414ccaca45ecdd7367574","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas",NA
"ea6147321b56e6c0a4c44fe358e72cd4","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","Methylotenera","Ambiguous_taxa"
"276e5dc40e878025ede422bb2498d46f","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Lechevalieria","Ambiguous_taxa"
"94ff54ad9a9448825e8f5dd42fa96433","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA
"529b35cef220e07e4dba1756481a2f94","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodomicrobiaceae","Rhodomicrobium","uncultured bacterium"
"00200e4c5d4c36e369c5a2768f36a175","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Ralstonia",NA
"406f4c84aba58822376e5f122c58a55c","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae","uncultured",NA
"d94d27317addf3b7834e045f24028c36","Bacteria","Actinobacteria","Rubrobacteria","Rubrobacterales","Rubrobacteriaceae","Rubrobacter","uncultured Actinomycetales bacterium"
"042c7cd102eb76467728f4530d47a5bb","Bacteria","Acidobacteria","Subgroup 6","uncultured microorganism","unclassified","unclassified","unclassified"
"63e4c8adeecc129d232d26a4a2f2c52e","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia","Ambiguous_taxa"
"84ad47ebb0618c7dd1397b6166f203c0","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrio",NA
"9356e3cc393e26e3fbc9b6e71128c583","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Rhodoferax",NA
"726f137d48a9a16971165106f5accbc3","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium",NA
"dd43a843130220e5f000f14e63c3caf2","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia","uncultured bacterium"
"b851e9f5a232cd72a7e0b750d7340111","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","Rhodococcus fascians"
"7aebe0e3c318c43ea6beb2ed11281ace","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter","Ambiguous_taxa"
"490d1675ccd99bbd266babe27b9275d2","Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella",NA
"d35396e3b1cfa318b0b2464fc2089055","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Microlunatus",NA
"eb254f006a34d1ea0e5641906aa59747","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium",NA
"1be41a4b125985e44c6c43631c112fa9","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA
"02d90cd6b1e7e766d4bc9c8cf8755265","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia","Ambiguous_taxa"
"db74ff5c3133de36a74d11f583e896b7","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured",NA
"07d612b278c395f486742d186f01b000","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium",NA
"d54914da962fb8f7930e8e61595550f9","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA
"8e5dbf4d96d64ace940b962f7b15fd7b","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia",NA
"c4931de22b31f21c35d4b51e07ca3bde","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA
"b6f324ec1e1d9a4d00167cb3089298a2","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia",NA
"36ded969e95025e85b4de3eeb2f2ced5","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Kribbella","Ambiguous_taxa"
"74ba9da31e37cdaa099a9efcda59c3a0","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium",NA
"75acf43f96087149836832a0c75e38a4","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter","metagenome"
"3c0f10bb5340d817636f203a0e132fdd","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium",NA
"db5340a533f7daa3349079ffa421fb2b","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas frederiksbergensis"
"c0e49d69a7c601ef6df7e26e4dcaec9f","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Skermanella",NA
"787f69ebe88d1626388498464ebdadb8","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"3448d1bf6cccbbf7b14c71b09817cba4","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"adfc443364a223888e5c5d671caf08f6","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Stenotrophomonas rhizophila"
"2988a53743a50b6579198acf6a5cb70e","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"cfbf34e15ffcfc2ff84e64293a5090c9","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Frankiaceae","Jatrophihabitans","uncultured bacterium"
"83eb26cfc9283914675c84e8e1383a01","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter","Ambiguous_taxa"
"a7174350002e8baf61e2d992912688a0","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia",NA
"fe6e56c676ca674e76bd25eab901939a","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Acidibacter","uncultured proteobacterium"
"d60d689777996167613fd34c5975d155","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","uncultured",NA
"7e4289560f202cb3faedb85c43b13f7d","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Variovorax",NA
"2bb9b341e8840e2a9440485dcc9abd22","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia",NA
"d4b7fd6c59473aed4ac2a30177ceda07","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia",NA
"4745bea18d848621762050089f967e71","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Polaromonas",NA
"61a87faf1398cf5ae90451151c75f7da","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA
"ba8b788b672f0cea65abb53fddba806a","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",NA
"fed669a066a85981aecfd239e2c57e32","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA
"9b196fb57b556e66769a13a9264f313c","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Erwinia",NA
"3d97609e29cc98396db6284986c95c28","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium",NA
"1228fef8617a1a82880da753c1052bc3","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium","Chryseobacterium soldanellicola"
"ed9923136d584bc3ff8524cd9eebdc93","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter","Ambiguous_taxa"
"17a70a407114b16e5a859e77d826d3c3","Bacteria","Actinobacteria","Rubrobacteria","Rubrobacterales","Rubrobacteriaceae","Rubrobacter","uncultured Actinomycetales bacterium"
"dfeed0aaf187c72427542cce65480933","Bacteria","Actinobacteria","Rubrobacteria","Rubrobacterales","Rubrobacteriaceae","Rubrobacter","uncultured Actinomycetales bacterium"
"1ce0502f5eb1974b3b5eabb26a2d2400","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA
"e3aa1c0593b6c14a5055b12817657815","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA
"ed33772a1caee90939081a3385e863b9","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia",NA
"b46d72be9fdbc18b19726196014e9464","Bacteria","Actinobacteria","Actinobacteria","Glycomycetales","Glycomycetaceae","Glycomyces","Glycomyces harbinensis"
"592034b38ba14dec5f60783052c2a5f5","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","uncultured",NA
"1b61027049ed011eb90fcaa7963795e8","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA
"dcb3f2c9d192bc2a7a15f95b0e91d620","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Achromobacter",NA
"23769d724c8f54a20fc5503775e0d215","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter",NA
"3dbaa0e9ff0e689a5ad4fe6171aa1e55","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Lechevalieria",NA
"b6f9ffb66f5ae364382a8ed1feecc9c7","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"a9a58cb43900ec06fff23879627e99e6","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter",NA
"37d2d8f43f0c262614435e3ab20c0ae0","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Microlunatus",NA
"a36d23c80ca2d57d770456f0175db088","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinocorallia","metagenome"
"2b78c368da44c7bda0d2330dbec58b4d","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Dactylosporangium","Ambiguous_taxa"
"8656c601ba6ac2922c02c615300fa8c0","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured",NA
"46958342c935785640bfc991c4efd11c","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"05a810621f53ed28b381e61cbaa808a1","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter",NA
"fbae4139f6adec79b067fb90f0fe3d00","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","uncultured","uncultured Ohtaekwangia sp."
"4b222ffb54d26687a8191192a26d8748","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia",NA
"7f16a777284a4b8fe9ded3451a329be5","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","uncultured","uncultured Niastella sp."
"41edbcb4ec4a57c470810fb4b9ac9131","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"43c74972f95d6719e0a57265faf133ff","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA
"219da30af77d8c208068dd8d9f5a1533","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia",NA
"00e0008348f66e14f36da59d3360a5a2","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira",NA
"5d8ac218578f2b0a9d485e4111439088","Bacteria","Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineosporia",NA
"7fcef6007216c1d785a396f0dbb0739a","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter",NA
"2e90849fe083c59445d684ba63038816","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Microlunatus",NA
"cb348378854bb6bf78013e8b1293f519","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA
"13f5aee77d1ddeb739187ebafc28481f","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA
"4c076cffb4dc7aaae47cb237d7067066","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"8864c48123c9a986ebb507c7d7b59c05","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Variovorax",NA
"0ab462899af75a39915e9dc4a0b872c2","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"a65f58c18e4e67d2a06306c0b7969df3","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae","uncultured",NA
"1d0f24559ade061f9269fcbe3f5be142","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae","Ellin6067",NA
"e3fe1022dc3c1aca0d47f365b6dcb54f","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae","Nitrosospira",NA
"80410413e03dcb3a597ab183e4bd07b1","Bacteria","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)","Bryobacter",NA
"58461b562c10ce1f4845f9259fdef14f","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Parafilimonas","uncultured bacterium"
"1c30c1dfcaae48ae6697cac2767698cf","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA
"eb2079283c65170dbd015d356e7e7cb4","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium",NA
"05a474c28f0e148790300b5ee8b94d25","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group","uncultured Planctomycetales bacterium","unclassified"
"2596af2890f18311e87226b52a8cc098","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Geodermatophilaceae","Blastococcus",NA
"d280a243bdf8dd7f1309b99b0393f799","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Occallatibacter",NA
"fb01280a25a6600c7abf7c71fbbf8fac","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Frankiaceae","Jatrophihabitans","uncultured bacterium"
"3306ecfb9d6fdbda57b1ae4dc6737815","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA
"7d4826e24c0c80f291eb5f7ec57abc1b","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"ba5829ddb7202024171338c9bea70cea","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","uncultured",NA
"e6463a720ccb096471a4b7b4ca2757b0","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ochrobactrum",NA
"18ed7d0cc04f6f3e92ba60d1b4c87902","Bacteria","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)","Bryobacter",NA
"ad568b74428dbece1b14338b18a261b9","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","1959-1","uncultured Ktedobacteria bacterium"
"78809d00c4a83d2e900b8c8a847609a6","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia",NA
"15461a555a47d8a3b2e022d35eaadaae","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"5e8e75ad6ae9224c48b07bdc7459537d","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","uncultured",NA
"2bf17b5f7a2839d3bd2d7c3fcd592747","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured","uncultured Gemmatimonadales bacterium"
"27592ab61f4cdfc161ce12bd5154ad76","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mesorhizobium",NA
"67b1a0b8a0351166d4e8978b1640913a","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured","uncultured forest soil bacterium","unclassified"
"ac497e41b16230691a63a326f1520573","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"25668021c6bac662ce39fc8e7599f43e","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia","Serratia fonticola"
"e1a33d4a31f49138a61b3bcb50498f85","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA
"06230aa83d57baa80e485ea59cb8a54f","Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella",NA
"f7e4d6e9e0a0370a86c8c5fd06c3abbb","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA
"d1afb6165a6913c681980aa801969764","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured",NA
"91203497df7c94f355f3fd6027a8ba69","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter",NA
"088b74f384bb0a6946b25b22c5ae4776","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA
"6bc81656b341f92cc3f866c812e48b57","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","uncultured Prosthecobacter sp."
"dd945371a48f29bac44dbed5985f65e9","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","A21b","uncultured Rhodocyclaceae bacterium","unclassified"
"fbdfdbc22fcb0362b5fe57dcee55fed6","Bacteria","Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae","uncultured",NA
"c9593963086fb1d909473e39b211401b","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"8d1f6e93ca4b388d95fbab6d1ff911ed","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium","Chryseobacterium soldanellicola"
